Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0285/012,Orchard Hotel,665 BUSH ST,94108,"665 BUSH ST
San Francisco, CA 94108
(37.790207, -122.408474)",67921,Hotel,http://propertymap.sfplanning.org/?&search=0285/012,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Exempt - LEED EBOM,,,,,,,,,,92,59.4,125.9,-41.2,-41.2,292.7,4.3,58.9,124.2,84,73,149.2,-31.8,-31.8,357.7,5.3,72.2,146.6,82,79.6,158,-29.7,-29.7,387.6,5.7,79.2,156.6,98,37.2,108.4,-55,,211.92,,37.5,109.5,,,,,,,,,
0287/001,251 Kearny Building,251 KEARNY ST,94108,"251 KEARNY ST
San Francisco, CA 94108
(37.790596, -122.404014)",31978,Office,http://propertymap.sfplanning.org/?&search=0287/001,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Pending,,,70,62.2,145.3,-21,-21,146.8,4.6,65.5,148.8,85,51.8,113.9,,,118.7,3.7,51.8,113.9,,,,,,,,,,,,,,,,,,,,0,0,,,85.68,,0,0,,,,,,,,,
1724/038,SF Police Credit Union,2550 IRVING ST,94122,"2550 IRVING ST
San Francisco, CA 94122
(37.763223, -122.485203)",34417,Financial Office,http://propertymap.sfplanning.org/?&search=1724/038,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,86,54.4,159.9,-38.9,-38.9,93.8,4.5,55.7,161.3,82,58.3,175,-33.2,-33.2,95.9,4.6,58.8,175.6,67,70.5,214.7,-17.4,-17.4,116.8,5.7,70.1,211.1,,,,,,,,,,43,80.3,250.4,7.4,,129.99,,80.4,250.6,,,,,,,,,
0195/004,33 COLUMBUS AVE,33 COLUMBUS AVE,94111,"33 COLUMBUS AVE
San Francisco, CA 94111
(37.795829, -122.403717)",14190,,http://propertymap.sfplanning.org/?&search=0195/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0446/002,Safeway 1711,15 MARINA BLVD,94123,"15 MARINA BLVD
San Francisco, CA 94123
(37.805097, -122.43308)",80520,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=0446/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,2013-04-01T00:00:00,Complied,,,27,259.6,657.7,16.2,16.2,810,20,263.6,661.9,29,273.2,668.1,14.5,14.5,798,19.7,273.9,665.6,29,265.7,654.8,14.8,14.8,778.9,19.2,264.1,649.9,38,253.1,633.2,7.7,7.7,747.3,18.4,253.6,633.7,34,257.4,656.1,10.5,10.5,766.6,18.9,253.4,651.9,38,248.7,,7.6,,809.17,,244.6,
0241/025,650 California Street,636 CALIFORNIA ST,94108,"636 CALIFORNIA ST
San Francisco, CA 94108
(37.792553, -122.405136)",587116,Office,http://propertymap.sfplanning.org/?&search=0241/025,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Exempt - LEED EBOM,2018-04-01T00:00:00,Upcoming,85,61.9,134.1,-38.4,-38.4,2497.8,4.4,136.7,9,83,60.5,142.7,-35.5,-35.5,2591.9,4.6,62,144.5,86,50.8,131.7,-39.7,-39.7,2228.9,3.9,53,134.4,86,52.3,135,-39.4,-39.4,2290.4,4,52.5,135.2,87,56.7,153.3,-40.6,,2719.59,,55.3,151.7,87,57.1,,-39.7,,2767.99,,55.3,
3642/032,2701 MISSION ST,2701 MISSION ST,94110,"2701 MISSION ST
San Francisco, CA 94110
(37.753608, -122.418569)",11298,Bank Branch,http://propertymap.sfplanning.org/?&search=3642/032,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,71,55.7,163.3,-22.5,-22.5,49.5,4.4,54.7,160,49,73.4,196.6,0.6,0.6,62.4,5.5,78.6,196.5,62,72.5,176.7,-12.6,-12.6,59,5.2,69.2,173.2,,,,,,,,,,,,,,,,,,
0309/010,166 Geary St.,166 GEARY ST,94108,"166 GEARY ST
San Francisco, CA 94108
(37.787634, -122.406098)",45203,Office,http://propertymap.sfplanning.org/?&search=0309/010,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,92,36.1,101.9,-49.3,-49.3,128.9,2.9,37,103,91,42.6,106.8,-46.2,-46.2,147.4,3.3,47.1,112.3,90,41.7,110.9,-45.5,-45.4,166.2,3.7,41.9,111,,,,,,,,,,,,,,,,,,
3616/005,2526 MISSION ST,2526 MISSION ST,94110,"2526 MISSION ST
San Francisco, CA 94110
(37.756419, -122.418841)",15300,Restaurant,http://propertymap.sfplanning.org/?&search=3616/005,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,218.6,243.8,-43.6,-43.6,180,11.8,252,2,,210.8,225.9,-47.7,-47.7,172.3,11.3,215.5,230.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180/015,834 DIVISADERO ST,834 DIVISADERO ST,94117,"834 DIVISADERO ST
San Francisco, CA 94117
(37.777394, -122.438243)",10130,,http://propertymap.sfplanning.org/?&search=1180/015,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0242/002,Far East Cafe,631 GRANT AVE,94108,"631 GRANT AVE
San Francisco, CA 94108
(37.793058, -122.406062)",18906,,http://propertymap.sfplanning.org/?&search=0242/002,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Pending,,,,,,,,,,,,,,,,,,,,,,44.1,138.6,-6.4,-6.4,68,3.6,43.5,136.5,,304.4,440.4,1.9,1.9,257.5,18.2,304.4,440.4,,,,,,,,,,,,,,,,,,
0755/003,1320 GOLDEN GATE AVE,1320 GOLDEN GATE AVE,94115,"1320 GOLDEN GATE AVE
San Francisco, CA 94115
(37.779494, -122.432461)",15812,Worship Facility,http://propertymap.sfplanning.org/?&search=0755/003,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,77,14.5,20.5,-29.7,-29.7,13.5,0.9,16.3,22.4,84,12.8,18,-38.5,-38.5,11.7,0.7,13.9,19.2,80,12.8,18.1,-34,-34,11.8,0.7,16.5,21.9,82,16.8,21.9,-36.1,-36.1,15,1,15,19.8,,,,,,,,,,,,,,,,,,
3572/012,2075 FOLSOM ST,2075 FOLSOM ST,94110,"2075 FOLSOM ST
San Francisco, CA 94110
(37.764076, -122.415186)",57660,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=3572/012,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,27,60.3,0.6,0.6,22.9,2,32.9,66.7,,19.3,52.2,-13,-13,17.2,1.5,19.3,52.2,,24.5,58.7,-2.1,-2.1,20.6,1.7,28.9,64.2,,29.6,68.2,13.7,13.7,24.4,2.1,26.8,64.2,,41,97.7,62.9,62.9,34.4,2.9,38.3,94.8,,,,,,,,,
0288/010,222 Kearny Street,222 KEARNY ST,94108,"222 KEARNY ST
San Francisco, CA 94108
(37.790152, -122.403919)",185143,Office,http://propertymap.sfplanning.org/?&search=0288/010,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,97,32.2,85.7,-59.8,-59.8,444.7,2.6,32.8,86.5,99,29,78.1,,,382.9,2.3,29.4,78.6,100,23.8,65.5,-70.1,-70.1,320.8,1.9,24.6,66.5,,,,,,,,,,90,43.8,126.2,-45.3,,662,,43.4,125.7,99,27.9,,-67.9,,360.44,,27.1,
0329/001,800 Market Street,800 MARKET ST,94102,"800 MARKET ST
San Francisco, CA 94102
(37.78532, -122.406411)",53715,Office,http://propertymap.sfplanning.org/?&search=0329/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Exempt - ENERGY STAR,84,66,156.4,-37.5,-37.5,263.7,4.9,68.8,158.6,82,65.2,161.5,-35.5,-35.5,254,4.7,66.2,160.8,80,67.4,164.7,-33.6,-33.6,260.9,4.9,70.5,165.2,79,70.6,165.2,-32.5,-32.5,282.8,5.3,68.2,163.3,78,70.5,171,-30.8,,287.19,,78.2,186.9,,87.8,,55.1,,303.73,,87.8,
0833/003,National Center for International Schools,150 Oak,94102,"150 Oak
San Francisco, CA 94102
(37.775146, -122.421784)",204509,K-12 School,http://propertymap.sfplanning.org/?&search=0833/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Exempt - ENERGY STAR,97,32.8,59.4,-51.1,-51.1,395.1,1.9,,,87,35.6,73.5,-34.5,-34.5,486.8,2.4,37.4,75.3,86,32,73.7,-33.2,-33.2,459.1,2.2,35.6,77.5,82,38.3,82.1,-28.8,-28.7,558.7,2.7,36.4,80.1,82,38.7,86.7,-29,,575.96,,38.3,86.4,86,37.3,,-33.4,,548.86,,34.5,
0310/024,46 GEARY ST,46 GEARY ST,94108,"46 GEARY ST
San Francisco, CA 94108
(37.78786, -122.404272)",19327,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0310/024,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2017-04-01T00:00:00,Complied,,,,41.8,123.8,0.5,0.5,63.1,3.5,41.8,123.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309/014,Town and Country Club,218 STOCKTON ST,94108,"218 STOCKTON ST
San Francisco, CA 94108
(37.787907, -122.406675)",18425,Office,http://propertymap.sfplanning.org/?&search=0309/014,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,39,55.1,102.7,12.5,12.5,59,3.9,56.1,103.9,79,44.2,84.1,-31.4,-31.4,56,3,44.2,84.1,81,41.7,79.7,-33.4,-33.4,52.8,2.9,41.7,79.7,93,26.5,61.6,-50.5,-50.4,36.3,2,26.5,61.6,,,,,,,,,,,,,,,,,,
0328/001,760 Market Street (The Phelan Building),750 MARKET ST,94108,"750 MARKET ST
San Francisco, CA 94108
(37.78676, -122.404575)",334405,Office,http://propertymap.sfplanning.org/?&search=0328/001,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,99,26.8,74.6,-67.9,-67.9,706.5,2.1,27,74.1,,28.1,73.4,-50.4,-50.4,728.3,2.2,30.9,76.7,,29.5,70.2,-52.6,-52.6,746.2,2.2,28.5,69,96,41,93.5,-56.6,,1066.77,,41.3,93.8,97,29.8,,-59.2,,785.2,,29.4,
0330/026,PARC 55 WYNDHAM San Francisco- Union Square,55 CYRIL MAGNIN ST,94102,"55 CYRIL MAGNIN ST
San Francisco, CA 94102
(37.784849, -122.408563)",788635,Hotel,http://propertymap.sfplanning.org/?&search=0330/026,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,66,75.8,145.4,-14.1,-14.1,3859.3,5.1,76.3,145.5,71,81.2,160.9,-18.7,-18.7,3743.6,5.3,81.5,160.2,66,84.6,167.9,-14,-14,3902.1,5.6,85.7,167.4,,,,,,,,,,,,,,,,,,,76,87.3,,-22.7,,4231.2,,85.9,
0225/004,725 GRANT AVE,725 GRANT AVE,94108,"725 GRANT AVE
San Francisco, CA 94108
(37.79378, -122.40622)",16131,,http://propertymap.sfplanning.org/?&search=0225/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550/012,25 14th Street,25 14TH ST,94103,"25 14TH ST
San Francisco, CA 94103
(37.768635, -122.414159)",34000,Other,http://propertymap.sfplanning.org/?&search=3550/012,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,92.6,178.2,44.8,44.8,211.6,6.2,103,189.2,,116.1,215.2,74.8,74.8,252.8,7.4,122.6,222.1,,98.6,201.9,64,64,223.6,6.6,103.7,202,,85.5,176.5,43.3,43.3,194.5,5.7,80.9,173.6,,,,,,,,,,,,,,,,,,
1780/045,Sunset Supermarket,2415 IRVING ST,94122,"2415 IRVING ST
San Francisco, CA 94122
(37.763272, -122.483989)",16138,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=1780/045,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,1,152.4,453,144.2,144.2,182,11.3,451.5,41,,152.3,453.7,-5.5,-5.5,195,12.1,151.1,449.9,,149.4,441.7,-8,-8,190.6,11.8,149.4,441.7,,157.4,465.7,-3,-3,215.6,13.4,157.4,465.7,,,,,,,,,,,,,,,,,,
0134/001,Abbott Building,1045 SANSOME ST,94133,"1045 SANSOME ST
San Francisco, CA 94133
(37.799863, -122.402519)",85476,Office,http://propertymap.sfplanning.org/?&search=0134/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,81,60.2,136,-32.6,-32.6,350.1,4.4,71.4,147.7,84,52.8,128.6,-37.1,-37.1,304.4,3.8,54.6,130.6,96,39.7,90.3,-55.3,-55.3,222,2.8,46,96.9,96,44.7,91.7,-55.6,-55.6,238.9,3,45.1,92.1,97,42.5,89,-58.5,,239.51,,40.8,87.2,85,48.2,,-37.7,,272.62,,44.4,
0285/006,450 Sutter,450 SUTTER ST,94108,"450 SUTTER ST
San Francisco, CA 94108
(37.789331, -122.407788)",375257,Medical Office,http://propertymap.sfplanning.org/?&search=0285/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,76,56.9,137.4,-35.6,-35.6,1145.5,4.3,60,140.7,77,55.1,138.1,-36.3,-36.3,1077.8,4,56.7,139.7,75,56.7,142.1,-33.5,-33.5,1108.1,4.1,60.1,145.6,73,63.5,149.6,-31.8,-31.8,1207,4.5,63.9,150,78,71.3,173.1,-35.2,,1450.8,,69.1,170.7,76,76.5,,-32.5,,1536.93,,74.4,
1007/008,3220 SACRAMENTO ST,3220 SACRAMENTO ST,94115,"3220 SACRAMENTO ST
San Francisco, CA 94115
(37.78831, -122.445963)",17000,K-12 School,http://propertymap.sfplanning.org/?&search=1007/008,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,99,21.9,55.6,-56.7,-56.7,28.7,1.7,25,58.9,95,27.3,65.7,-47.7,-47.7,33.2,2,28.6,67.1,97,20.1,61.3,-50.5,-50.5,27.5,1.6,20.4,61.6,93,32.2,73.3,-43.7,-43.8,40.3,2.4,29.7,70.7,,,,,,,,,,,,,,,,,,
0228/011,565 COMMERCIAL ST,565 COMMERCIAL ST,94111,"565 COMMERCIAL ST
San Francisco, CA 94111
(37.794285, -122.402625)",28840,Office,http://propertymap.sfplanning.org/?&search=0228/011,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Pending,,25.5,67.1,-54.6,-54.6,57.8,2,27.6,69.3,,22.3,56.7,-61.7,-61.7,47.2,1.6,23.3,57.8,,23.5,62,-58.1,-58.1,50.6,1.8,25,63.7,,26,60.7,-59,-59,53,1.8,26.2,60.9,,18.4,43.7,-70.5,-70.5,37.8,1.3,18.4,43.7,,,,,,,,,
0267/002,77 Battery Street,77 BATTERY ST,94104,"77 BATTERY ST
San Francisco, CA 94104
(37.791998, -122.39972)",20500,Office,http://propertymap.sfplanning.org/?&search=0267/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,52,71.1,191.2,-2.6,-2.6,103.3,5,72.8,191.2,53,71,190.6,-4.1,-4.1,109.7,5.4,73.2,192.9,51,67.6,193.9,-1.4,-1.4,107.9,5.3,69.9,196.3,42,80.5,216.9,8.5,8.5,124.6,6.1,80.8,217.1,,,,,,,,,,,,,,,,,,
0503/030,Comfort Inn By the Bay,2775 VAN NESS AVE,94123,"2775 VAN NESS AVE
San Francisco, CA 94123
(37.801039, -122.424546)",107743,Hotel,http://propertymap.sfplanning.org/?&search=0503/030,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,70,39.3,78.5,-17.8,-17.8,268.5,2.5,40.8,82.4,100,20.4,21.4,-78.4,-78.4,116.5,1.1,20.4,21.4,67,39,81.5,-15.3,-15.3,282.4,2.6,39.4,82.8,66,43.1,86.3,-14.5,-14.5,306.7,2.8,43.2,86.6,64,46.4,95.7,-12.2,,349.15,,45.5,94.4,61,45,,-10.1,,350.35,,45,
0327/012,100 POWELL ST,100 POWELL ST,94102,"100 POWELL ST
San Francisco, CA 94102
(37.785723, -122.407913)",51709,Hotel,http://propertymap.sfplanning.org/?&search=0327/012,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,60,67.9,128.3,-9,-9,218.6,4.2,69,129.8,60,54.6,122.3,-9.6,-9.6,130.9,2.5,,,82,29.6,93,,,124.9,2.4,28,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519/001,1301 Folsom,1301 FOLSOM ST,94103,"1301 FOLSOM ST
San Francisco, CA 94103
(37.773643, -122.411787)",27000,Other,http://propertymap.sfplanning.org/?&search=3519/001,Violation - Insufficient Data,,Exempt,Exempt - Vacant,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2017-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,318.5,,,252.1,9.3,110.9,315.9,,111.1,340.9,58.7,,259.16,,112.8,347.5,,,,,,,,,
0289/009,180 Montgomery Street,180 MONTGOMERY ST,94104,"180 MONTGOMERY ST
San Francisco, CA 94104
(37.790647, -122.402329)",325006,Office,http://propertymap.sfplanning.org/?&search=0289/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,95,44,113.4,-55.5,-55.5,1157.2,3.6,46.2,116,96,40.8,108.5,-57.3,-57.3,1031.6,3.2,42,110,97,37.6,103.9,-59,-59,960.6,3,39.3,105.9,96,44.3,116.7,-56.9,-56.9,1268.5,3.9,44.5,116.8,95,46,126.9,-54.4,,1310.15,,44.2,124.7,94,46.6,,-53.2,,1329.53,,45.1,
0296/009,450 POST ST,450 POST ST,94102,"450 POST ST
San Francisco, CA 94102
(37.788178, -122.409333)",162214,Hotel,http://propertymap.sfplanning.org/?&search=0296/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,2012-11-15T00:00:00,Complied,,,34,95.5,154.8,14.8,14.8,965.1,5.9,96.1,155.2,38,95.5,155.6,10,10,944.9,5.8,96.8,156.5,30,100.5,163.1,18.2,18.2,993,6.1,105,167.7,30,110.2,175.8,18.6,18.6,1082.3,6.7,108.8,175,35,106.4,169.2,13.7,13.7,1043.4,6.4,106.8,170.6,,,,,,2.9,0,,
1443/016,Lamps Plus,4700 GEARY BLVD,94118,"4700 GEARY BLVD
San Francisco, CA 94118
(37.780826, -122.469966)",10000,Retail Store,http://propertymap.sfplanning.org/?&search=1443/016,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,,,,,,,,,1,105.7,331.9,,,86.2,8.6,105.7,331.7,1,105.1,329.9,,,85.7,8.6,102.4,321.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206/025,Club Quarters,425 Battery St.,94111,"425 Battery St
San Francisco, CA 94111
(37.795252, -122.400387)",138810,Hotel,http://propertymap.sfplanning.org/?&search=0206/025,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,2014-04-01T00:00:00,Complied,,,,61.8,149.7,-7.6,-7.6,645.1,4.6,62.8,150.9,,55.6,135.1,-16.6,-16.6,554.7,4,55.6,135.1,,62.6,155.4,-4.1,-4.1,630.8,4.5,62.1,153.7,82,42.6,133.8,-29.8,-29.8,520,3.7,42.6,133.8,84,42.2,141.1,-31,,532.68,,42.2,141.1,,,,,,,,,
3703/060,1089 MARKET ST,1089 MARKET ST,94103,"1089 MARKET ST
San Francisco, CA 94103
(37.780772, -122.412162)",13250,,http://propertymap.sfplanning.org/?&search=3703/060,Exempt,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2021-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208/024,Hilton San Francisco - Financial District,750 KEARNY ST,94111,"750 KEARNY ST
San Francisco, CA 94111
(37.795071, -122.40491)",443430,Hotel,http://propertymap.sfplanning.org/?&search=0208/024,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,65,105.7,226.5,-12.6,-12.6,2221.9,6.9,226.5,16.2,67,103.6,226.1,-14.3,-14.3,2295.7,7.1,104.4,226.9,68,103.4,220.1,-15.3,-15.3,2267.1,7,104.8,221.5,67,108.6,227.7,-14.4,-14.4,2365.4,7.3,108.8,227.9,60,121,245.1,-8.7,,2712.9,,118.1,240.5,44,128.8,,4.6,,2983.02,,128.8,
0312/008,Grant & Geary,77 Geary,94108,"77 Geary
San Francisco, CA 94108
(37.787807, -122.404699)",120971,Office,http://propertymap.sfplanning.org/?&search=0312/008,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,91,36.6,112.6,-46.4,-46.4,381.4,3.2,36.6,112.6,91,38,113.5,-46.9,-46.9,369.2,3.1,38,113.5,94,32.1,99.5,-52.8,-52.8,315.4,2.6,32.1,99.5,97,28.7,87.4,-59.4,-59.4,,,28.7,87.5,97,30,89.6,-58.7,-58.7,,,30,89.6,,,,,,,,,
